run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
evouyq66,oprmsprop_hw512_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,rmsprop,2,512,0.7080000042915344,0.9977499842643738,78,False,0.009533338248729706,False,True
oqigxhhs,oprmsprop_hw512_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,rmsprop,2,512,0.7099999785423279,0.9977499842643738,63,False,0.008362592197954655,False,True
cs3c1qss,oprmsprop_hw512_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,rmsprop,2,512,0.7089999914169312,0.9982500076293944,63,False,0.008674565702676773,False,True
ignm9vhh,opsgd_hw512_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,sgd,2,512,0.6990000009536743,1.0,3295,False,0.009990002028644083,False,True
pftikh4i,opsgd_hw512_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,sgd,2,512,0.6949999928474426,1.0,3056,False,0.009970211423933506,False,True
nac6kpgu,opsgd_hw512_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,2,512,0.6940000057220459,1.0,3032,False,0.009995427913963796,False,True
stytajpp,opadam_hw512_nl2_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,2,512,0.7120000123977661,0.9990000128746032,76,False,0.008629844523966312,False,True
gf84bb0y,opadam_hw512_nl2_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,2,512,0.7089999914169312,0.9987499713897704,65,False,0.005123179405927658,False,True
n4b1geuk,opadam_hw512_nl2_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,2,512,0.7129999995231628,0.9982500076293944,47,False,0.00924388412386179,False,True
4694hwc4,oprmsprop_hw2048_nl4_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,rmsprop,4,2048,0.7519999742507935,0.9992499947547911,26,False,0.004233288113027811,False,True
3fcwim81,oprmsprop_hw2048_nl4_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,rmsprop,4,2048,0.7459999918937683,0.9992499947547911,27,False,0.00649691466242075,False,True
lp0p0nl2,oprmsprop_hw2048_nl4_lr0.0003_bs64_dp0_wd0,0.0003,64,0.0,0.0,rmsprop,4,2048,0.7549999952316284,1.0,21,False,0.004574093502014875,False,True
wv65utpk,opsgd_hw2048_nl4_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,sgd,4,2048,0.6179999709129333,1.0,5970,False,0.009996553882956505,False,True
c5wi9lco,opsgd_hw2048_nl4_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,sgd,4,2048,0.6230000257492065,1.0,5887,False,0.009996346198022366,False,True
fnohsm2z,opsgd_hw2048_nl4_lr0.0003_bs64_dp0_wd0,0.0003,64,0.0,0.0,sgd,4,2048,0.6230000257492065,1.0,5878,False,0.009998030960559843,False,True
0jqxe2el,opadam_hw2048_nl4_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,adam,4,2048,0.7239999771118164,0.9977499842643738,21,False,0.00981722678989172,False,True
tzvnauxz,opadam_hw2048_nl4_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,adam,4,2048,0.7269999980926514,0.9990000128746032,16,False,0.008817494846880436,False,True
fiaya9s3,opadam_hw2048_nl4_lr0.0003_bs64_dp0_wd0,0.0003,64,0.0,0.0,adam,4,2048,0.7379999756813049,0.9992499947547911,24,False,0.0036249500699341297,False,True
fhlukcbo,oprmsprop_hw2048_nl3_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,rmsprop,3,2048,0.7200000286102295,1.0,18,False,0.006751045119017363,False,True
m4adn8ip,oprmsprop_hw2048_nl3_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,rmsprop,3,2048,0.7239999771118164,1.0,17,False,0.008379110135138035,False,True
uyihmc7q,oprmsprop_hw2048_nl3_lr0.0003_bs64_dp0_wd0,0.0003,64,0.0,0.0,rmsprop,3,2048,0.7319999933242798,1.0,18,False,0.0049607232213020325,False,True
18v2ae06,opsgd_hw2048_nl3_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,sgd,3,2048,0.6320000290870667,1.0,9763,False,0.009998762048780918,False,True
oci56e4m,opsgd_hw2048_nl3_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,sgd,3,2048,0.6290000081062317,1.0,9395,False,0.009999871253967283,False,True
njoemse8,opsgd_hw2048_nl3_lr0.0003_bs64_dp0_wd0,0.0003,64,0.0,0.0,sgd,3,2048,0.6299999952316284,1.0,9359,False,0.009997457265853882,False,True
1soqclm6,opadam_hw2048_nl3_lr0.0003_bs64_dp0_wd0.0001,0.0003,64,0.0,0.0001,adam,3,2048,0.7210000157356262,1.0,16,False,0.006566432770341635,False,True
b3lewl6b,opadam_hw2048_nl3_lr0.0003_bs64_dp0_wd1e-05,0.0003,64,0.0,1e-05,adam,3,2048,0.7200000286102295,1.0,15,False,0.0072592683136463165,False,True
